File,Heading,Heading-Label,Chapter,Chapter-Label,Article,Article-Label,Item,Description,Year,Amount
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2011,1.1242379E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2012,1.3626E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the e,2013,1.471E7
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2011,6862672.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2012,6690000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other Staff,2013,7090000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2011,607674.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2012,662000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for tempora,2013,681000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2011,259087.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2012,265000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary a,2013,275000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2011,11632.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2012,12000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,,Overtime,2013,12000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2011,290801.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2012,135000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the,2013,202000.0
2013.csv,A-1,Staff,A-11,Staff in Active Employment,A-119,Salary Weightings,,Salary weightings,2011,0.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2011,166778.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2012,114000.0
2013.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2013,167000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2011,600000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2012,500000.0
2013.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2013,485000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2011,4000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2012,57000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical Service,2013,60000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2011,1500.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2012,4000.0
2013.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2013,4000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2011,220811.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2012,350000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2013,400000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2011,259560.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2012,375000.0
2013.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2013,445000.0
2013.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,,Special assistance grants,2011,0.0
2013.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,,Special assistance grants,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2011,2699195.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2012,2930000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2013,3150000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2011,11718.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2012,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2013,16000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2011,115000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2012,100000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity & heating",2013,150000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2011,728022.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2012,750000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning & Maintenance,2013,940000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2011,211917.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2012,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2011,122000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2012,5000.0
2013.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Miscellaneous premises expenditure,2013,500000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2011,2745762.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2012,3692000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data processing related expe,2013,1975000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2011,733000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2012,425000.0
2013.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,,Telecommunication,2013,425000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2011,4661.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2012,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment & installations,2013,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2011,55000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2012,20000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2013,20000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2011,26190.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2012,15000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2013,111000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2011,17410.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2012,30000.0
2013.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2013,18100.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2011,129848.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2012,120000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,,Stationary & office supplies,2013,70000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2011,488318.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2012,400000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,,Miscellaneous administrative expenditure,2013,410000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2011,10000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2012,5000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,,Financial charges,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-233,Legal Expenditure and Damages,,Legal expenditure and damages,2011,51807.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-233,Legal Expenditure and Damages,,Legal expenditure and damages,2012,30000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-233,Legal Expenditure and Damages,,Legal expenditure and damages,2013,30000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,,Auditing,2011,139296.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,,Auditing,2012,10000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,,Auditing,2013,10000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,,Security of buildings and persons,2011,476143.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,,Security of buildings and persons,2012,120000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,,Security of buildings and persons,2013,103000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-236,Entertainment and Representation Expenses,,Entertainment & representation expenses,2011,9062.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-236,Entertainment and Representation Expenses,,Entertainment & representation expenses,2012,35000.0
2013.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-236,Entertainment and Representation Expenses,,Entertainment & representation expenses,2013,35000.0
2013.csv,A-2,Administrative Expenditure,A-24,Postal expenditure,A-240,Postal Expenditure,,Postal and delivery expenditure,2011,121304.0
2013.csv,A-2,Administrative Expenditure,A-24,Postal expenditure,A-240,Postal Expenditure,,Postal and delivery expenditure,2012,100000.0
2013.csv,A-2,Administrative Expenditure,A-24,Postal expenditure,A-240,Postal Expenditure,,Postal and delivery expenditure,2013,160000.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,,Management Board meetings,2011,403322.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,,Management Board meetings,2012,500000.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,,Management Board meetings,2013,550000.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-251,Other Meetings and Visits,,Other meetings & visits,2011,345445.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-251,Other Meetings and Visits,,Other meetings & visits,2012,100000.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-251,Other Meetings and Visits,,Other meetings & visits,2013,50000.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-252,Consultative Forum,,Consultative Forum,2011,0.0
2013.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-252,Consultative Forum,,Consultative Forum,2012,0.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-260,Auditing,,Corporate Identity,2011,100685.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-260,Auditing,,Corporate Identity,2012,130000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-260,Auditing,,Corporate Identity,2013,100000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-261,Internal Communications,,Internal communications activities,2011,82237.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-261,Internal Communications,,Internal communications activities,2012,125000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-261,Internal Communications,,Internal communications activities,2013,150000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-262,Communication and Information,,Communication and information activities,2011,28639.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-262,Communication and Information,,Communication and information activities,2012,250000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-262,Communication and Information,,Communication and information activities,2013,600000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-263,Official Publications,,Official publications/tender publications,2011,80000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-263,Official Publications,,Official publications/tender publications,2012,150000.0
2013.csv,A-2,Administrative Expenditure,A-26,Auditing,A-263,Official Publications,,Official publications/tender publications,2013,150000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-300,Operations and Pilot Projects: Land Borders,,Operations & Pilot Projects; land borders,2011,1.036E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-300,Operations and Pilot Projects: Land Borders,,Operations & Pilot Projects; land borders,2012,5800000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-300,Operations and Pilot Projects: Land Borders,,Operations & Pilot Projects; land borders,2013,9400000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-301,Operation and Pilot Projects: Sea borders,,Operations & Pilot Projects; sea borders,2011,4.83225E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-301,Operation and Pilot Projects: Sea borders,,Operations & Pilot Projects; sea borders,2012,2.875E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-301,Operation and Pilot Projects: Sea borders,,Operations & Pilot Projects; sea borders,2013,2.005E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-302,Operations and Pilot Projects: Air Borders,,Operations & Pilot Projects; air borders,2011,2870000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-302,Operations and Pilot Projects: Air Borders,,Operations & Pilot Projects; air borders,2012,2200000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-302,Operations and Pilot Projects: Air Borders,,Operations & Pilot Projects; air borders,2013,2289000.0
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-305,Return Cooperation,,Return cooperation,2011,1.1671E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-305,Return Cooperation,,Return cooperation,2012,1.0243E7
2013.csv,A-3,Operational Activities,A-30,Joint Operations,A-305,Return Cooperation,,Return cooperation,2013,1.0E7
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-310,Risk Analysis,,Risk analysis,2011,1333136.0
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-310,Risk Analysis,,Risk analysis,2012,1400000.0
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-310,Risk Analysis,,Risk analysis,2013,1445000.0
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-311,Frontex Situation Center,,Frontex Situation Center,2011,1173412.0
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-311,Frontex Situation Center,,Frontex Situation Center,2012,1050000.0
2013.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-311,Frontex Situation Center,,Frontex Situation Center,2013,1380000.0
2013.csv,A-3,Operational Activities,A-32,Training,A-320,Training,,Training,2011,5652650.0
2013.csv,A-3,Operational Activities,A-32,Training,A-320,Training,,Training,2012,4000000.0
2013.csv,A-3,Operational Activities,A-32,Training,A-320,Training,,Training,2013,4500000.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-330,Research and Development,,Research & Development,2011,1166987.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-330,Research and Development,,Research & Development,2012,1032000.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-330,Research and Development,,Research & Development,2013,1200000.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-331,EUROSUR,,EUROSUR,2011,1445000.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-331,EUROSUR,,EUROSUR,2012,1308000.0
2013.csv,A-3,Operational Activities,A-33,Research and development ,A-331,EUROSUR,,EUROSUR,2013,2244000.0
2013.csv,A-3,Operational Activities,A-34,Pooled Resources,A-340,Pooled Resources,,Pooled Resources,2011,283348.0
2013.csv,A-3,Operational Activities,A-34,Pooled Resources,A-340,Pooled Resources,,Pooled Resources,2012,1000000.0
2013.csv,A-3,Operational Activities,A-34,Pooled Resources,A-340,Pooled Resources,,Pooled Resources,2013,1000000.0
2013.csv,A-3,Operational Activities,A-34,Pooled Resources,A-341,EBGT,,EBGT,2011,168625.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-350,Miscellaneous Operational Activities,,Miscellaneous Operational Activities,2011,191340.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-350,Miscellaneous Operational Activities,,Miscellaneous Operational Activities,2012,268000.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-350,Miscellaneous Operational Activities,,Miscellaneous Operational Activities,2013,150000.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-351,Operational IT Activites,,Operational IT activities,2011,1318282.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-351,Operational IT Activites,,Operational IT activities,2012,1500000.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-352,European Day for Border Guards,,European Day for Border Guards,2011,0.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-352,European Day for Border Guards,,European Day for Border Guards,2012,400000.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-352,European Day for Border Guards,,European Day for Border Guards,2013,400000.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-353,International Border Police Conference,,International Border Police Conference,2011,0.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-353,International Border Police Conference,,International Border Police Conference,2012,0.0
2013.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-353,International Border Police Conference,,International Border Police Conference,2013,250000.0
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1100,Basic salary,2009,6683898
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1101,Family allowances,2009,583664
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1102,Expatriation and foreign-residence allowances,2009,926463
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1111,Contract staff,2009,1921478
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1112,Seconded national experts,2009,3282918
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1130,Insurance against sickness,2009,244539
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1131,Insurance against accidents and occupational disea,2009,50986
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1132,Insurance against unemployment,2009,96139
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1140,Childbirth and death allowances and grants,2009,0
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1141,Travel expenses for annual leave,2009,130997
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,A-1150,Overtime,2009,3000
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1180,Travel expenses on taking up duties and at end of,2009,14315
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1181,Installation resettlement and transfer allowances,2009,135567
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1182,Removal expenses for temporary agents,2009,61172
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1183,Temporary daily subsistence allowances for tempora,2009,144784
2011.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1185,Travel expenses at end of contract,2009,1000
2011.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1200,Translation and publication of notices,2009,43415
2011.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1201,Travel and subsitence costs of applicants,2009,115000
2011.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1202,Medical examinations,2009,17000
2011.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1203,Other recruitment costs,2009,2200
2011.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,A-1300,Administrative missions,2009,509400
2011.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,A-1410,Medical service,2009,603
2011.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,A-1430,Other expenditure,2009,0
2011.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,A-1500,Training and information of staff,2009,235604
2011.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1510,Translation and interpretation services,2009,0
2011.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1511,Cost of organising stages,2009,72000
2011.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1512,Supplementary clerical and interim services,2009,14400
2011.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1513,Other external services including expenses for Com,2009,112390
2011.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,A-1600,Special assistance grants,2009,0
2011.csv,A-1,Staff,A-16,Social Welfare,A-161,Social Events,A-1610,Social events,2009,53294
2011.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,A-1700,General,2009,16625
2011.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,A-1701,Corporate Identity,2009,60362
2011.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,A-2000,Rent,2009,2035831
2011.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,A-2010,Insurance,2009,3343
2011.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",A-2020,Water gas electricity and heating,2009,70400
